姓名,位置,年龄,ca,pa,国籍,俱乐部,角球,传中,盘带,射门,接球,任意球,头球,远射,界外球,盯人,传球,罚点球,抢断,技术,侵略性,预判,勇敢,镇定,集中,决断,意志力,想象力,领导力,无球跑动,防守站位,团队合作,视野,工作投入,爆发力,灵活,平衡,弹跳,体质,速度,耐力,强壮,稳定,肮脏,大赛,伤病,多样,制空能力,拦截传中,沟通,神经指数,手控球,大脚开球,一对一,反应,出击,击球倾向,手抛球的能力,适应性,雄心,争论,忠诚,抗压能力,职业,体育道德,情绪控制,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,身高,左脚,右脚,身价（欧元）,当前声望,本国声望,世界声望,种族,RCA,肤色,出生日期,国家队出场,国家队进球,工资（欧元）,UID,防守,身体,速度,创造,进攻,技术,制空,精神,拦截射门,身体,速度,精神,指挥防守,意外性,制空,大脚,球员习惯,二维码&球员名片&扫码填写评价,球员习惯,二维码&球员名片&扫码填写评价
Adrien Rabiot,DM/M LC,30,157,160,France,Casciavit Milano,11,14,14,13,15,9,14,14,8,11,16,12,16,15,13,15,14,14,12,11,10,10,14,14,16,17,13,16,13,12,15,14,19,16,18,18,15,13,15,10,12,3,1,1,1,4,1,3,1,3,2,3,10,15,14,12,14,15,12,10,1,9,7,1,11,1,16,15,20,14,12,14,1,1,188,20,9,"£42,468,092",7850,7850,7250,NorthernEuropean,158,5,1995/4/3,53,6,"£153,895",85086031,14.33 ,15.75 ,14.50 ,13.00 ,13.67 ,14.67 ,14.00 ,13.17 ,2.00 ,15.75 ,14.50 ,13.17 ,1.00 ,1.00 ,3.50 ,2.00 ,"控制节奏
利用脚下技术将球带出危险区
避免使用弱势脚
不喜欢倒地铲球",#NAME?,,
Ayoze Pérez,AM/ST RLC,32,157,160,Spain,Villarreal,11,10,16,17,16,9,11,11,7,7,13,11,10,17,10,15,11,14,13,15,12,15,10,16,8,13,13,15,14,15,13,8,13,13,15,13,12,7,13,10,16,1,3,3,2,2,2,3,3,2,1,3,13,15,5,10,13,13,12,14,1,1,1,1,1,1,1,14,1,11,17,18,15,20,178,12,20,"£300,000,000",7850,7500,6900,MediterraneanHispanic,151,10,1993/7/29,2,1,"£96,176",67172040,8.33 ,14.00 ,13.50 ,13.67 ,15.67 ,16.33 ,9.50 ,13.17 ,3.00 ,14.00 ,13.50 ,13.17 ,3.00 ,2.00 ,1.50 ,2.50 ,"中路带球突进
经常尝试传身后球
喜欢接脚下球
从左路内切",#NAME?,,
Stanislav Lobotka,DM/M C,30,157,158,Slovakia,Parthenope,6,11,13,7,16,6,5,9,6,12,17,8,17,16,13,15,15,17,16,16,15,13,11,10,15,18,14,14,13,15,16,7,17,13,16,10,15,5,12,12,11,4,3,2,1,3,2,3,3,2,3,2,13,14,3,15,15,16,16,16,1,1,1,1,1,1,20,1,16,1,1,10,1,1,170,14,20,"£21,605,170",7850,7750,6500,NorthernEuropean,157,4,1994/11/25,67,4,"£59,663",63012964,14.67 ,14.25 ,13.00 ,14.67 ,11.33 ,15.00 ,6.00 ,15.83 ,3.00 ,14.25 ,13.00 ,15.83 ,2.50 ,1.00 ,3.50 ,2.00 ,"回撤拿球
控制节奏
乐意把球传给位置更好的队友
而不是选择射门",#NAME?,,
Désiré Doué,AM RLC,20,156,-95,"France,Ivory Coast",Paris Saint-Germain,14,14,17,12,17,11,9,13,4,11,15,10,10,16,10,12,13,13,12,12,15,16,7,12,10,14,15,14,16,16,13,9,14,14,13,11,13,5,12,4,14,2,1,2,3,2,1,1,1,4,3,3,13,15,10,16,12,15,14,11,1,1,1,1,1,1,1,1,14,14,17,18,20,14,181,14,20,"£226,872,944",7800,7800,7000,AfricanCaribbean,154,12,2005/6/3,3,0,"£45,370",2000115202,10.33 ,13.25 ,15.00 ,15.33 ,12.33 ,16.67 ,9.00 ,13.00 ,1.00 ,13.25 ,15.00 ,13.00 ,1.50 ,3.00 ,2.00 ,2.00 ,用外脚背,#NAME?,,
Kenan Yıldız,AM RLC,20,156,-95,"Türkiye,Germany",Juventus,14,12,17,14,16,13,7,15,3,5,15,13,7,17,12,12,13,12,13,14,16,17,8,12,9,13,14,14,15,16,13,11,13,14,13,12,13,5,10,8,15,1,1,3,1,1,2,3,2,3,1,2,16,17,14,12,10,15,15,15,1,1,1,1,1,1,1,12,10,9,20,18,15,15,185,14,20,"£183,518,624",7800,7250,6750,NorthAfricanMiddleEastern,151,3,2005/5/4,21,2,"£49,193",2000138835,7.00 ,13.50 ,14.50 ,15.33 ,12.67 ,16.67 ,9.00 ,13.50 ,2.50 ,13.50 ,14.50 ,13.50 ,2.00 ,1.00 ,1.00 ,2.00 ,"经常尝试传身后球
远射
角度刁钻的射门
趟球变向加速过人",#NAME?,,
Marcus Rashford,AM/ST RL,27,156,173,England,Manchester United,8,13,15,15,14,13,12,13,5,2,14,16,4,15,10,13,8,13,12,12,13,17,11,16,4,11,13,10,16,15,15,13,14,17,14,15,12,6,18,7,12,1,2,2,1,3,3,3,1,3,1,2,9,16,10,16,13,12,12,16,1,1,1,1,1,1,1,14,1,12,20,14,16,16,183,11,20,"£64,900,000",7800,7500,7100,AfricanCaribbean,148,13,1997/10/31,62,17,"£235,000",28100266,3.33 ,14.75 ,16.50 ,14.67 ,14.67 ,14.67 ,12.50 ,11.50 ,2.00 ,14.75 ,16.50 ,11.50 ,2.00 ,1.00 ,2.00 ,2.50 ,"插入对方禁区
乐于反越位
趟球变向加速过人
尝试花式动作
从左路内切",#NAME?,,
Christopher Nkunku,AM/ST RLC,27,156,172,"France,Democratic Republic of Congo",Casciavit Milano,14,13,16,14,15,16,10,14,4,5,14,15,8,16,11,16,12,15,12,13,15,17,8,17,7,12,15,12,15,16,12,10,13,15,14,11,16,11,16,9,18,1,3,2,2,2,2,3,4,3,3,3,13,17,8,12,15,13,12,12,1,1,1,8,8,10,1,10,12,10,15,20,15,16,178,12,20,"£42,778,236",7800,6500,7100,AfricanCaribbean,153,13,1997/11/14,14,1,"£153,895",85140301,6.67 ,13.25 ,15.00 ,15.33 ,15.33 ,15.67 ,10.00 ,13.33 ,3.50 ,13.25 ,15.00 ,13.33 ,2.50 ,2.00 ,1.50 ,2.50 ,"弧线球射门
撞墙式配合
喜欢过顶球吊射",#NAME?,,
Cristian Romero,D C,27,156,168,Argentina,Tottenham Hotspur,5,6,9,8,13,4,15,5,4,14,14,8,18,14,20,18,15,16,15,13,16,8,16,6,16,14,11,17,14,14,14,14,15,14,14,15,13,18,16,8,8,1,3,1,2,1,2,2,1,2,4,1,16,15,4,11,12,14,7,5,1,1,20,7,1,1,1,1,1,1,1,1,1,1,185,9,20,"£58,410,000",7800,7550,6750,MediterraneanHispanic,155,9,1998/4/27,44,3,"£200,000",14130029,16.00 ,14.25 ,14.00 ,11.00 ,10.00 ,12.00 ,14.50 ,15.17 ,1.50 ,14.25 ,14.00 ,15.17 ,2.00 ,2.00 ,1.00 ,1.50 ,倒地铲球,#NAME?,,
Marc Guéhi,D C,25,156,168,"England,Ivory Coast",Crystal Palace,5,9,13,8,14,7,14,8,9,15,13,8,15,15,11,14,13,14,14,13,16,11,16,10,15,15,12,14,15,15,15,14,16,14,15,14,16,10,14,7,14,2,3,2,3,3,3,2,3,1,1,3,13,15,4,14,15,18,14,17,1,14,20,12,1,1,14,1,10,1,1,1,1,1,182,15,20,"£59,472,004",7800,7800,7200,AfricanCaribbean,156,15,2000/7/13,23,0,"£45,000",28108033,15.00 ,14.75 ,14.50 ,12.00 ,10.67 ,14.00 ,14.00 ,14.17 ,2.50 ,14.75 ,14.50 ,14.17 ,2.50 ,3.00 ,2.50 ,3.00 ,把球带出防守区域,#NAME?,,
Mason Greenwood,AM RLC,23,156,167,"England,Jamaica",Olympique de Marseille,7,14,16,16,15,14,10,15,3,6,16,18,5,15,10,12,10,14,11,11,15,17,10,13,6,11,13,12,16,15,13,11,16,16,12,9,14,6,12,4,10,3,3,1,1,3,3,1,1,2,3,3,11,15,18,14,15,11,12,12,1,1,1,1,1,1,1,10,1,12,17,17,20,14,183,20,19,"£70,327,424",7800,5500,5500,AfricanCaribbean,152,12,2001/10/1,1,0,"£75,618",28121564,5.67 ,12.25 ,16.00 ,15.33 ,14.33 ,15.33 ,10.50 ,11.67 ,1.00 ,12.25 ,16.00 ,11.67 ,2.00 ,1.00 ,3.00 ,3.00 ,"跑肋部空间接球
远射
尝试花式动作
喜欢从双侧内切",#NAME?,,
Sven Botman,D LC,25,156,167,Netherlands,Newcastle United,8,8,10,6,13,10,15,6,9,16,14,7,16,13,10,15,17,15,15,15,15,8,14,9,16,16,11,15,12,9,14,15,12,12,15,17,16,11,11,6,12,3,3,3,1,3,1,1,3,1,3,2,13,13,8,12,11,15,13,7,1,16,20,1,13,1,13,1,1,1,1,1,1,10,193,20,9,"£58,410,000",7800,7000,6400,NorthernEuropean,154,2,2000/1/12,0,0,"£100,000",37063649,16.00 ,13.75 ,12.00 ,11.00 ,10.00 ,12.00 ,15.00 ,15.50 ,2.00 ,13.75 ,12.00 ,15.50 ,3.00 ,1.00 ,3.00 ,1.50 ,喜欢将球转移到边路,#NAME?,,
Federico Chiesa,AM/ST RLC,27,156,165,Italy,Liverpool,8,14,16,14,15,5,9,14,4,5,14,10,5,14,16,13,13,15,10,12,17,16,12,15,6,14,13,15,16,14,13,8,11,16,12,13,16,14,16,11,15,1,1,2,2,2,4,2,2,4,4,2,13,15,11,11,16,17,8,11,1,1,1,1,6,6,1,13,1,13,20,15,19,16,180,14,20,"£63,524,996",7850,7600,7050,MediterraneanHispanic,148,2,1997/10/25,51,7,"£120,000",43161651,5.33 ,13.00 ,16.00 ,14.33 ,14.67 ,15.00 ,8.50 ,13.17 ,2.00 ,13.00 ,16.00 ,13.17 ,1.50 ,2.00 ,1.50 ,3.00 ,"有机会就前插
大力射门
趟球变向加速过人
拉边
经常带球",#NAME?,,
Manu Koné,DM/M C,24,156,164,"France,Ivory Coast",Associazione Sportiva Roma,4,6,16,11,14,5,10,13,7,12,15,7,15,16,17,16,16,13,13,14,16,15,11,14,13,15,13,17,15,15,16,12,14,15,17,15,15,14,14,10,13,2,3,1,2,1,1,2,1,3,2,1,17,16,8,10,15,14,8,8,1,1,8,1,1,1,20,10,20,10,1,14,1,1,185,10,20,"£52,831,120",7800,7000,6450,AfricanCaribbean,156,18,2001/5/17,8,0,"£86,254",49047182,13.33 ,15.75 ,15.00 ,14.33 ,12.67 ,15.33 ,11.00 ,15.00 ,1.50 ,15.75 ,15.00 ,15.00 ,2.00 ,2.00 ,1.50 ,1.00 ,"利用脚下技术将球带出危险区
经常带球",#NAME?,,
Oihan Sancet,M/AM C,25,156,162,"Spain,Pays Basque",A. Bilbao,7,9,13,13,16,8,11,14,7,10,16,13,7,16,17,14,12,13,14,16,17,16,12,15,15,15,16,15,14,14,8,14,15,14,15,14,12,8,18,12,8,3,3,3,2,4,3,3,4,2,2,2,14,13,7,18,9,16,11,16,1,1,1,1,1,1,9,1,20,1,1,19,1,1,188,12,20,"£69,136,544",7800,7800,6300,MediterraneanHispanic,155,4,2000/4/25,4,1,"£90,425",67260204,10.67 ,12.75 ,14.00 ,16.00 ,13.67 ,15.00 ,12.50 ,14.67 ,3.50 ,12.75 ,14.00 ,14.67 ,3.00 ,2.00 ,3.50 ,2.50 ,,#NAME?,,
Exequiel Palacios,DM/M C,26,156,160,Argentina,Bayer 04 Leverkusen,11,10,13,10,16,10,8,12,6,12,17,15,16,16,16,16,17,16,14,15,17,12,12,12,14,14,16,16,12,13,14,8,8,13,16,13,16,15,16,16,10,2,2,3,2,2,1,3,3,3,4,1,10,13,8,14,14,12,8,8,1,1,8,1,1,1,20,10,20,10,8,14,8,1,176,10,20,"£70,224,752",7800,7000,6800,NativeAmerican,156,11,1998/10/5,36,0,"£124,304",14110846,14.00 ,14.00 ,12.50 ,15.00 ,12.67 ,15.00 ,8.00 ,15.50 ,3.00 ,14.00 ,12.50 ,15.50 ,2.50 ,2.00 ,2.00 ,1.00 ,倒地铲球,#NAME?,,
Kaoru Mitoma,M/AM L,28,156,160,Japan,Brighton & Hove Albion,9,11,18,13,19,8,10,14,7,8,13,11,8,14,6,12,13,14,15,14,13,16,6,15,7,15,14,13,17,15,14,10,15,16,15,7,14,1,15,11,7,2,1,2,1,3,1,2,1,2,3,1,18,14,6,10,15,15,12,15,1,1,1,1,14,1,1,17,1,1,20,14,14,1,178,8,20,"£64,900,000",7800,7800,6500,EastAsian,153,8,1997/5/20,27,8,"£87,000",45111891,7.67 ,12.75 ,16.50 ,14.33 ,14.00 ,17.00 ,10.00 ,13.67 ,1.50 ,12.75 ,16.50 ,13.67 ,1.50 ,1.00 ,2.50 ,1.00 ,"用外脚背
经常带球",#NAME?,,
Mile Svilar,GK ,25,156,160,"Serbia,Belgium",Associazione Sportiva Roma,3,3,1,2,12,1,9,2,2,2,11,3,2,11,13,13,16,13,14,13,15,8,10,5,16,10,9,8,14,16,11,15,12,13,13,12,15,5,11,5,1,14,15,11,10,16,15,16,17,15,11,13,13,18,12,7,7,14,8,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,189,6,20,"£41,708,776",7800,5750,6000,NorthernEuropean,155,3,1999/8/27,1,0,"£72,460",18087914,6.67 ,13.00 ,13.50 ,9.33 ,6.67 ,8.00 ,12.00 ,13.50 ,16.50 ,13.00 ,13.50 ,13.50 ,13.00 ,10.00 ,15.00 ,14.00 ,,#NAME?,,
Rodrigo De Paul,M/AM RC,31,156,160,"Argentina,Italy",A. Madrid,15,15,16,14,16,14,8,15,3,10,16,15,12,15,13,15,14,14,12,14,15,15,15,13,10,15,16,14,15,14,14,9,15,14,14,13,12,15,15,8,15,3,2,1,2,1,3,2,3,1,2,2,13,16,14,13,14,13,12,12,1,1,1,1,1,1,8,10,20,16,10,16,14,1,180,11,20,"£28,929,970",7750,7650,6900,MediterraneanHispanic,156,6,1994/5/24,78,2,"£96,363",14048343,10.67 ,13.75 ,14.50 ,15.67 ,13.67 ,15.67 ,8.50 ,14.17 ,2.50 ,13.75 ,14.50 ,14.17 ,1.50 ,2.00 ,2.00 ,2.50 ,"经常尝试传身后球
大力射门
后排插上进攻
避免使用弱势脚
经常带球",#NAME?,,
Joelinton,M/AM LC,28,156,158,Brazil,Newcastle United,7,11,16,11,15,8,16,10,6,7,13,11,15,14,17,15,20,14,13,15,15,14,13,14,14,19,13,20,13,10,15,15,13,14,18,19,16,13,14,9,13,3,1,2,1,2,1,1,1,1,2,1,11,16,12,10,13,11,7,10,1,1,1,1,1,1,1,12,20,10,18,16,10,13,186,10,20,"£61,655,000",7800,6750,6500,MixedRace,154,13,1996/8/14,5,1,"£115,000",19184436,12.00 ,15.50 ,13.50 ,13.33 ,13.00 ,15.00 ,15.50 ,16.17 ,1.00 ,15.50 ,13.50 ,16.17 ,1.50 ,1.00 ,2.50 ,1.00 ,,#NAME?,,
Jonathan Tah,D C,29,156,158,"Germany,Ivory Coast",FC Bayern München,3,7,10,6,12,4,16,8,10,15,14,6,13,12,15,16,15,16,14,14,15,8,16,9,16,16,13,14,12,10,18,17,14,16,12,18,17,8,12,9,8,2,3,3,1,2,3,3,1,2,2,1,10,14,8,16,12,15,13,15,1,10,20,12,1,8,12,1,10,1,1,1,1,1,195,10,20,"£52,920,564",7800,7800,6800,MixedRace,156,13,1996/2/11,37,0,"£248,607",91119700,14.67 ,14.50 ,14.00 ,11.67 ,10.33 ,11.33 ,16.50 ,15.00 ,2.00 ,14.50 ,14.00 ,15.00 ,3.00 ,1.00 ,2.00 ,2.00 ,不喜欢倒地铲球,#NAME?,,
Morten Hjulmand,DM/M C,26,156,158,Denmark,Sporting Clube de Portugal,8,9,10,9,13,7,9,14,9,14,15,7,16,14,18,13,18,13,16,15,18,9,18,12,16,19,12,18,12,12,16,13,16,12,18,14,20,17,15,7,10,2,4,2,1,3,2,3,1,2,2,3,11,14,8,11,18,19,13,13,1,1,1,1,1,1,20,13,19,5,1,11,1,1,185,12,20,"£93,495,072",7800,7500,6500,NorthernEuropean,155,5,1999/6/25,19,1,"£33,147",27132703,15.33 ,15.00 ,12.00 ,12.00 ,11.33 ,12.33 ,11.00 ,16.50 ,2.00 ,15.00 ,12.00 ,16.50 ,3.00 ,1.00 ,2.50 ,2.50 ,"倒地铲球
长距离传球",#NAME?,,
"Cristiano Ronaldo(Al-Nassr Football Club,Portugal)",ST ,40,155,195,Portugal,Al-Nassr Football Club,10,11,13,18,15,12,19,15,7,3,13,20,5,17,6,18,11,15,13,13,20,17,19,20,4,6,11,5,11,10,13,15,20,10,11,15,13,12,18,6,6,3,2,2,1,1,3,3,1,3,3,3,17,20,16,10,19,20,5,7,1,1,1,1,1,1,1,1,1,1,12,1,10,20,187,15,20,"£300,000,000",7750,10000,7750,MediterraneanHispanic,153,6,1985/2/5,221,138,"£3,413,698",735216,4.00 ,12.25 ,10.50 ,13.67 ,17.67 ,15.00 ,17.00 ,13.50 ,2.00 ,12.25 ,10.50 ,13.50 ,2.00 ,1.00 ,2.00 ,3.00 ,"与裁判争论
尝试倒勾球
任意球大力攻门
倾向于尽可能长地延续自己的职业生涯（隐藏习惯）
用脚触球",#NAME?,,
Karim Benzema,ST ,37,155,185,"France,Algeria",Al-Ittihad Club,10,12,16,16,19,12,14,12,7,6,17,16,9,20,7,15,10,17,12,15,16,17,15,16,8,15,17,12,11,10,15,12,17,10,11,14,13,4,14,12,8,1,3,3,1,2,2,2,3,3,2,2,11,17,19,12,14,19,17,16,1,1,1,1,1,1,1,1,1,1,1,12,1,20,185,14,20,"£7,279,999",7750,8750,7250,NorthAfricanMiddleEastern,154,9,1987/12/19,97,37,"£3,314,765",8435089,7.67 ,12.50 ,10.50 ,17.00 ,16.33 ,18.33 ,13.00 ,13.83 ,2.50 ,12.50 ,10.50 ,13.83 ,3.00 ,1.00 ,1.50 ,2.00 ,"跑肋部空间接球
经常尝试传身后球
角度刁钻的射门
回撤拿球
撞墙式配合",#NAME?,,
Joan García,GK ,24,155,175,Spain,Barcelona,7,2,2,2,13,9,9,1,2,1,12,9,2,12,11,14,14,14,16,14,15,9,11,9,15,12,9,12,13,15,12,14,13,12,13,13,16,8,14,6,1,14,14,12,7,14,13,15,18,10,12,12,12,15,7,12,13,15,12,12,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,8,20,"£28,562,354",7750,7750,6250,MediterraneanHispanic,154,3,2001/5/4,0,0,"£99,470",67277675,6.00 ,13.25 ,12.50 ,10.00 ,8.33 ,9.00 ,11.50 ,14.17 ,16.50 ,13.25 ,12.50 ,14.17 ,13.00 ,7.00 ,14.00 ,12.50 ,,#NAME?,,
Micky van de Ven,D/WB LC,24,155,175,Netherlands,Tottenham Hotspur,3,11,13,7,12,3,13,7,14,14,13,6,16,13,14,15,16,13,13,15,17,13,14,10,14,13,12,15,16,12,14,15,16,20,13,15,14,7,14,6,12,1,2,1,1,4,1,2,2,2,3,1,11,17,12,9,13,13,12,12,1,16,20,1,16,1,10,1,1,1,1,1,1,1,193,20,8,"£67,283,333",7750,7300,6650,NorthernEuropean,154,2,2001/4/19,12,1,"£85,000",37084591,14.67 ,13.50 ,18.00 ,12.67 ,10.00 ,12.67 ,14.00 ,14.83 ,2.00 ,13.50 ,18.00 ,14.83 ,1.50 ,1.00 ,2.50 ,1.00 ,"长距离传球
把球带出防守区域",#NAME?,,
Matthijs de Ligt,D C,25,155,173,Netherlands,Manchester United,4,5,9,8,12,8,16,10,8,16,13,8,16,12,16,14,18,11,14,13,16,5,15,7,16,15,10,15,12,11,16,16,11,14,13,18,14,9,14,13,12,3,2,1,2,2,4,1,1,2,1,1,17,17,6,12,14,19,15,12,1,7,20,9,1,1,12,1,10,1,1,1,1,5,189,10,20,"£62,617,500",7750,7750,7500,NorthernEuropean,153,1,1999/8/12,50,2,"£220,000",37055843,16.00 ,14.50 ,13.00 ,9.33 ,8.67 ,11.00 ,16.00 ,15.00 ,1.00 ,14.50 ,13.00 ,15.00 ,1.50 ,2.00 ,2.50 ,2.50 ,"习惯简单短传配合
倒地铲球",#NAME?,,
Leroy Sané,AM RLC,29,155,172,"Germany,France,Senegal",Galatasaray A.Ş.,14,12,17,12,14,16,8,16,7,7,15,13,8,16,13,15,10,13,11,13,12,16,11,14,8,12,15,10,16,16,12,12,12,17,12,11,12,14,10,12,13,1,2,3,2,3,1,2,1,2,2,1,11,13,13,12,8,12,7,7,1,1,1,1,12,12,1,15,12,15,20,15,18,10,183,20,9,"£42,436,008",7800,7750,7200,MixedRace,150,12,1996/1/11,70,14,"£249,290",91138280,7.67 ,12.75 ,16.50 ,15.33 ,13.00 ,15.67 ,10.00 ,12.17 ,1.50 ,12.75 ,16.50 ,12.17 ,2.50 ,2.00 ,2.00 ,1.00 ,"远射
避免使用弱势脚
主罚远距离任意球
喜欢连续过多人
经常带球",#NAME?,,
Gabriel Martinelli,AM RL,24,155,170,"Brazil,Italy",Arsenal,13,11,16,14,14,10,11,9,3,5,12,11,5,15,14,13,14,13,12,13,17,15,7,15,7,16,13,17,17,16,14,11,13,16,15,11,14,10,13,10,12,2,3,1,3,1,1,3,1,2,3,3,16,17,5,14,15,17,14,14,1,1,1,1,1,1,1,12,1,10,20,10,16,15,180,10,20,"£78,537,334",7750,7750,7000,MediterraneanHispanic,150,8,2001/6/18,18,2,"£242,000",19351309,5.67 ,14.00 ,16.50 ,13.33 ,14.00 ,15.00 ,11.00 ,14.17 ,2.00 ,14.00 ,16.50 ,14.17 ,2.00 ,3.00 ,1.50 ,2.00 ,"角度刁钻的射门
趟球变向加速过人
从左路内切",#NAME?,,
Gavi,DM/M/AM C,20,155,170,Spain,Barcelona,12,13,14,11,14,11,6,11,8,12,15,9,14,15,19,15,19,12,15,14,19,14,15,16,12,16,15,18,13,15,15,7,15,12,14,14,13,15,14,10,16,2,1,1,3,3,3,2,4,1,1,3,15,17,7,14,14,16,8,7,1,1,1,1,1,1,18,12,20,10,12,18,10,1,173,12,20,"£86,606,480",7750,7750,7000,MediterraneanHispanic,152,6,2004/8/5,27,5,"£155,557",2000049413,12.67 ,14.50 ,12.50 ,14.67 ,13.00 ,14.33 ,6.50 ,16.33 ,3.00 ,14.50 ,12.50 ,16.33 ,1.00 ,3.00 ,2.50 ,3.00 ,"经常尝试传身后球
激怒对手
回撤拿球
倒地铲球",#NAME?,,
Hugo Ekitiké,ST ,23,155,170,"France,Cameroon",Liverpool,7,10,15,14,16,12,14,13,6,6,15,13,7,16,12,15,12,13,12,13,13,16,10,15,7,14,15,13,15,16,16,14,12,16,13,13,14,8,14,8,12,3,2,1,3,2,1,2,3,1,2,2,11,16,8,8,11,13,14,16,1,1,1,1,1,1,1,10,1,10,14,14,14,20,190,12,20,"£75,739,000",7750,6500,7000,AfricanCaribbean,155,9,2002/6/20,0,0,"£250,000",49062667,6.67 ,14.50 ,15.50 ,15.33 ,14.00 ,15.67 ,14.00 ,13.17 ,2.50 ,14.50 ,15.50 ,13.17 ,1.50 ,3.00 ,2.50 ,1.50 ,"用外脚背
尝试花式动作
经常带球",#NAME?,,
João Cancelo,D/WB RL,31,155,170,Portugal,Al-Hilal Saudi Football Club,13,16,16,12,16,12,10,13,14,9,16,11,13,17,15,15,12,14,11,13,13,17,7,14,11,12,16,13,14,15,14,11,14,13,13,12,12,13,13,9,17,2,2,3,1,2,1,1,2,1,1,1,14,19,15,6,10,10,9,7,1,20,1,20,18,18,12,12,12,12,12,10,12,1,182,11,20,"£300,000,000",7750,7900,7250,MediterraneanHispanic,140,6,1994/5/27,60,10,"£248,607",55041623,11.00 ,13.50 ,13.50 ,16.33 ,13.33 ,16.33 ,10.50 ,12.67 ,1.50 ,13.50 ,13.50 ,12.67 ,2.50 ,1.00 ,2.00 ,1.00 ,"有机会就前插
用外脚背
利用脚下技术将球带出危险区
尝试花式动作
从左路内切",#NAME?,,
Jurriën Timber,D RLC,24,155,170,"Netherlands,Curaçao",Arsenal,4,12,13,7,14,8,13,7,10,14,15,8,15,15,13,16,16,15,15,15,16,12,10,14,15,16,12,15,14,15,13,13,13,15,14,13,15,9,14,11,14,3,4,1,3,1,1,1,2,1,2,2,16,13,5,13,15,15,15,12,1,18,17,20,10,14,14,1,10,10,1,1,1,1,179,12,20,"£60,379,165",7750,7750,6750,AfricanCaribbean,155,13,2001/6/17,18,0,"£110,000",37063644,14.67 ,13.75 ,14.50 ,13.00 ,12.00 ,14.00 ,13.00 ,15.67 ,1.50 ,13.75 ,14.50 ,15.67 ,2.50 ,3.00 ,2.00 ,1.50 ,把球带出防守区域,#NAME?,,
Kingsley Coman,AM RL,29,155,170,"France,Guinea,Guadeloupe",Al-Nassr Football Club,11,12,17,11,15,10,8,13,6,8,14,11,9,17,13,13,12,12,12,12,13,17,11,13,8,14,14,13,17,17,15,10,10,15,13,9,12,9,16,15,16,3,2,2,2,2,2,3,3,3,1,2,16,16,12,16,12,13,9,10,1,1,1,1,12,12,1,15,10,15,20,12,18,12,179,12,20,"£78,000,000",7750,7750,7250,AfricanCaribbean,151,16,1996/6/13,58,8,"£414,345",85104424,8.33 ,13.50 ,16.00 ,15.00 ,12.00 ,16.33 ,9.00 ,12.67 ,3.00 ,13.50 ,16.00 ,12.67 ,2.00 ,2.00 ,2.50 ,2.00 ,"尝试花式动作
喜欢连续过多人
经常带球",#NAME?,,
Levi Colwill,D LC,22,155,170,England,Chelsea,3,7,11,5,14,3,15,2,10,14,16,11,15,15,12,13,12,16,16,15,12,6,13,11,15,12,12,15,15,12,15,15,14,15,14,16,11,11,9,7,15,1,3,2,1,2,2,1,2,2,2,1,13,12,7,11,9,10,12,12,1,15,20,1,12,1,1,1,1,1,1,1,1,1,187,20,10,"£94,218,336",7750,7750,6250,AfricanCaribbean,154,12,2003/2/26,5,0,"£75,000",28124573,14.67 ,14.25 ,15.00 ,11.33 ,10.67 ,13.33 ,15.00 ,13.33 ,1.50 ,14.25 ,15.00 ,13.33 ,2.50 ,1.00 ,1.50 ,1.50 ,,#NAME?,,
Lucas Chevalier,GK ,23,155,170,France,Paris Saint-Germain,1,2,3,2,16,1,3,2,1,2,16,2,2,13,12,15,14,14,12,13,16,15,14,11,13,13,15,14,11,15,13,15,13,12,14,12,14,7,18,5,2,16,14,14,14,15,11,17,15,15,5,14,13,15,7,16,16,15,13,17,20,1,1,1,1,1,1,1,1,1,1,1,1,1,189,11,20,"£98,546,648",7750,7750,5250,NorthernEuropean,153,4,2001/11/6,0,0,"£85,334",49048357,5.67 ,13.50 ,11.50 ,15.33 ,9.00 ,10.67 ,9.00 ,13.83 ,16.00 ,13.50 ,11.50 ,13.83 ,14.00 ,14.00 ,15.50 ,12.50 ,,#NAME?,,
N'Golo Kanté,DM/M C,34,155,170,"France,Mali",Al-Ittihad Club,6,10,12,9,13,6,9,10,6,13,15,7,19,14,16,17,15,14,15,16,19,11,8,13,15,20,13,19,15,15,15,6,18,8,15,11,16,5,18,9,9,2,4,3,2,1,3,3,3,3,2,1,18,14,1,14,15,20,18,20,1,1,1,1,1,1,18,1,20,1,10,14,1,1,168,8,20,"£9,815,036",7750,7250,7750,AfricanCaribbean,144,17,1991/3/29,64,2,"£390,617",85081880,15.67 ,14.00 ,11.50 ,13.00 ,12.00 ,13.00 ,7.50 ,17.00 ,3.00 ,14.00 ,11.50 ,17.00 ,3.50 ,2.00 ,1.50 ,2.00 ,"喜欢将球转移到边路
经常带球",#NAME?,,
